X1,Y1,sigma_xx,sigma_yy,sigma_zz,sigma_xy,,X,Y,u_x,u_y,|u|
2.371191005,0.270192556,-27.18614993,-65.52171121,-27.81235834,2.02426866,,5.93E-02,2.00E+00,2.44E-06,-1.62E-03,1.62E-03
2.978420786,0.213831675,-27.23413614,-65.46516273,-27.80978966,2.827584305,,5.93E-02,1.96E+00,2.43E-06,-1.60E-03,1.60E-03
1.710223372,0.314712291,-27.16771412,-65.39618005,-27.76916825,1.312032287,,6.65E-02,1.04E+00,2.09E-06,-9.69E-04,9.69E-04
2.51051168,0.270192556,-27.07462833,-65.33382224,-27.72253517,2.186074659,,6.65E-02,1.04E+00,2.09E-06,-9.69E-04,9.69E-04
0.20769542,0.355472493,-27.21014859,-65.15932403,-27.71084179,0.139514016,,6.65E-02,1.30E+00,2.39E-06,-1.17E-03,1.17E-03
3.676654123,0.132787021,-27.28109935,-64.97007237,-27.67535151,3.913176747,,6.65E-02,1.13E+00,2.20E-06,-1.04E-03,1.04E-03
2.328851732,0.29256712,-26.99021418,-65.19701081,-27.6561675,1.959266578,,6.65E-02,1.21E+00,2.30E-06,-1.11E-03,1.11E-03
0.022013163,0.368673463,-27.09393675,-64.9358128,-27.60892486,0.014674083,,6.65E-02,1.30E+00,2.39E-06,-1.17E-03,1.17E-03
0.878016076,0.362527406,-27.03713296,-64.94079456,-27.59337826,0.60668258,,6.88E-02,2.97E+00,2.47E-06,-2.62E-03,2.62E-03
2.107627014,0.3169264,-26.90472885,-65.02913694,-27.58015974,1.702541611,,6.88E-02,2.97E+00,2.47E-06,-2.62E-03,2.62E-03
4.281373919,0.027093191,-27.4941935,-64.42062676,-27.57444608,4.983523634,,6.88E-02,2.70E+00,2.65E-06,-2.42E-03,2.42E-03
3.247884668,0.21296703,-26.94888759,-64.86716993,-27.54481726,3.195506471,,6.88E-02,2.88E+00,2.53E-06,-2.56E-03,2.56E-03
2.553612979,0.292856087,-26.80436022,-64.89011093,-27.50834134,2.217859927,,6.88E-02,2.79E+00,2.59E-06,-2.49E-03,2.49E-03
0.103256837,0.381532319,-26.97333225,-64.71167253,-27.50550143,0.068475706,,6.88E-02,2.70E+00,2.65E-06,-2.42E-03,2.42E-03
2.2415399,0.317805437,-26.80029362,-64.87267544,-27.50189072,1.844180322,,7.12E-02,1.86E+00,2.90E-06,-1.54E-03,1.54E-03
1.385713826,0.363172555,-26.85461474,-64.75132184,-27.48178097,1.002948483,,7.22E-02,2.14E+00,2.97E-06,-1.81E-03,1.81E-03
0.396118222,0.383775949,-26.93074132,-64.65483583,-27.47567314,0.264095021,,8.29E-02,6.23E-01,1.77E-06,-6.13E-04,6.13E-04
3.719245154,0.155609837,-26.96873256,-64.45320736,-27.42658197,3.943558466,,8.29E-02,6.23E-01,1.77E-06,-6.13E-04,6.13E-04
3.991447822,0.107054666,-27.09635296,-64.28453499,-27.41426638,4.41718609,,8.29E-02,9.48E-01,2.45E-06,-8.95E-04,8.95E-04
2.90855952,0.271434384,-26.69444811,-64.64405098,-27.40154973,2.677256321,,8.29E-02,7.31E-01,2.01E-06,-7.10E-04,7.10E-04
4.383775456,0.027184482,-27.30038815,-63.96393084,-27.37929569,5.133192488,,8.29E-02,8.39E-01,2.24E-06,-8.04E-04,8.04E-04
