X,Y,u_x,u_y,,,X1,Y1,sigma_xx,sigma_yy,sigma_xy
0.308016649,2.872359555,1.13732E-05,-0.002554826,,,0.463054532,2.621363087,-9.812089352,-24.93819152,-0.035280348
0.315396353,2.373802093,1.28628E-05,-0.00208526,,,0.463753634,1.37689377,-18.18072673,-47.26025353,0.126156599
0.315829273,1.625571634,1.2513E-05,-0.001397308,,,0.466867548,3.74957257,-1.329606717,-4.515909194,-0.027799821
0.317348271,0.375490971,4.33968E-06,-0.000380783,,,0.4671114,0.62601873,-24.69837057,-60.44213074,0.274212697
0.325070931,3.623856051,9.4662E-06,-0.002944752,,,0.467566101,1.033379456,-21.09005918,-53.32049508,0.197471474
0.359649156,2.497604187,1.44473E-05,-0.002217532,,,0.467921023,2.964311655,-7.23183679,-18.73290143,-0.051548457
0.359649156,2.497604187,1.44473E-05,-0.002217532,,,0.467988572,0.970270085,-21.63785299,-54.42826375,0.210285078
0.360514995,1.501143268,1.38967E-05,-0.001313941,,,0.468863199,3.027414286,-6.759073909,-17.58994626,-0.053192729
0.360514995,1.501143268,1.38967E-05,-0.001313941,,,0.470542875,3.372184566,-4.177439508,-11.34370674,-0.051737422
0.363863209,0.500981942,6.45884E-06,-0.000500408,,,0.473320234,0.031544507,-30.24382237,-70.73016116,0.355279801
0.363863209,0.500981942,6.45884E-06,-0.000500408,,,0.473862383,2.031544507,-14.32442532,-35.57058049,0.006498498
0.367116195,3.497712103,1.10593E-05,-0.002906068,,,0.473862383,1.968455493,-13.43581918,-36.70437549,0.014155953
0.367116195,3.497712103,1.10593E-05,-0.002906068,,,0.479661253,2.523335541,-10.553392,-26.70933308,-0.029982106
0.38516901,2.747041797,1.47209E-05,-0.002452654,,,0.480727398,1.474966135,-17.36834772,-45.51974424,0.110399131
0.385262545,1.251355096,1.36288E-05,-0.001134483,,,0.484640483,2.814523291,-8.35512804,-21.44502008,-0.047646059
