X,Y,ux,uy,sigma_xx,sigma_yy,sigma_xy,magnitude
0.26262626,2.10101,-8.827075e-06,-0.0017885137,-13.557487,-34.262566,0.019021904,0.0017885355
0.26262626,2.1414142,-9.067357e-06,-0.0018269904,-13.341437,-33.53882,0.015504061,0.001827013
0.26262626,2.1818182,-9.300187e-06,-0.0018674713,-13.108276,-32.818905,0.0119923595,0.0018674944
0.26262626,2.2222223,-9.549782e-06,-0.0019095019,-12.856643,-32.09547,0.009307641,0.0019095257
0.26262626,2.2626262,-9.799376e-06,-0.0019525383,-12.588173,-31.365156,0.0077680815,0.0019525628
0.26262626,2.3030303,-1.0048971e-05,-0.0019960497,-12.307078,-30.630045,0.00703013,0.001996075
0.26262626,2.3434343,-1.0287389e-05,-0.0020396076,-12.018219,-29.894566,0.0063766204,0.0020396337
0.26262626,2.3838384,-1.052767e-05,-0.00208286,-11.725412,-29.162054,0.0052213473,0.0020828866
0.26262626,2.4242425,-1.0766089e-05,-0.0021255594,-11.430799,-28.433321,0.0033734844,0.0021255866
0.26262626,2.4646466,-1.0997057e-05,-0.0021675434,-11.135137,-27.707176,0.0010470002,0.0021675713
0.26262626,2.5050504,-1.12410635e-05,-0.0022086669,-10.838503,-26.981756,-0.0013253272,0.0022086955
0.26262626,2.5454545,-1.1473894e-05,-0.002248872,-10.540792,-26.25549,-0.0033062347,0.0022489014
0.26262626,2.5858586,-1.1691824e-05,-0.0022880733,-10.242066,-25.527649,-0.004586227,0.002288103
0.26262626,2.6262627,-1.1920929e-05,-0.0023262482,-9.9426,-24.798302,-0.0050342577,0.0023262787
0.26262626,2.6666667,-1.2120232e-05,-0.0023633596,-9.642838,-24.068102,-0.0046867435,0.0023633908
0.26262626,2.7070708,-1.232326e-05,-0.0023994036,-9.343235,-23.337833,-0.0037014044,0.0023994353
0.26262626,2.7474747,-1.2507662e-05,-0.0024343543,-9.044178,-22.608206,-0.0023111394,0.0024343864
0.26262626,2.7878788,-1.2656674e-05,-0.002468206,-8.745928,-21.879675,-0.0007676084,0.0024682384
0.26262626,2.8282828,-1.2803823e-05,-0.002500981,-8.4486,-21.152384,0.0006945855,0.002501014
0.26262626,2.868687,-1.2936071e-05,-0.0025326516,-8.152187,-20.42624,0.0018719604,0.0025326847
0.26262626,2.909091,-1.3044104e-05,-0.0025632232,-7.856575,-19.70093,0.0026154036,0.0025632563
0.26262626,2.9494948,-1.31465495e-05,-0.0025926996,-7.5616107,-18.97606,0.002825944,0.002592733
0.26262626,2.989899,-1.3250858e-05,-0.002621062,-7.267101,-18.2512,0.0024546452,0.0026210956
0.26262626,3.030303,-1.3353303e-05,-0.0026483461,-6.9728613,-17.525959,0.0014997466,0.0026483797
0.26262626,3.070707,-1.3465062e-05,-0.0026745256,-6.678727,-16.800034,-2.2195914e-06,0.0026745596
0.26262626,3.1111112,-1.3580546e-05,-0.002699593,-6.3845735,-16.073225,-0.0019862622,0.0026996273
0.26262626,3.1515152,-1.37183815e-05,-0.0027235486,-6.090292,-15.34541,-0.004363414,0.0027235833
0.26262626,3.191919,-1.3859943e-05,-0.0027464088,-5.7958074,-14.616553,-0.007031094,0.0027464437
0.26262626,3.2323232,-1.4025718e-05,-0.0027681682,-5.5010614,-13.886687,-0.009882452,0.0027682038
0.26262626,3.2727273,-1.4221296e-05,-0.0027887952,-5.2060103,-13.155878,-0.012798413,0.0027888312
0.26262626,3.3131313,-1.44168735e-05,-0.0028083306,-4.9106226,-12.424234,-0.015669249,0.0028083676
0.26262626,3.3535354,-1.4657155e-05,-0.0028267503,-4.6148734,-11.691885,-0.018385053,0.0028267882
0.26262626,3.3939395,-1.4903024e-05,-0.0028440412,-4.3187346,-10.958942,-0.02084362,0.00284408
0.26262626,3.4343433,-1.5176833e-05,-0.0028602295,-4.022179,-10.225523,-0.022952037,0.0028602697
0.26262626,3.4747474,-1.5459955e-05,-0.002875302,-3.72518,-9.491728,-0.024627812,0.0028753437
0.26262626,3.5151515,-1.5767291e-05,-0.0028892606,-3.4277058,-8.757656,-0.025795346,0.0028893037
0.26262626,3.5555556,-1.608394e-05,-0.0029021036,-3.129745,-8.023418,-0.026392624,0.002902148
0.26262626,3.5959597,-1.6406178e-05,-0.0029138364,-2.831282,-7.2891183,-0.026364343,0.0029138825
0.26262626,3.6363637,-1.6750768e-05,-0.0029244442,-2.532318,-6.5548825,-0.025669329,0.0029244921
0.26262626,3.6767676,-1.7080456e-05,-0.0029339418,-2.2328722,-5.8208613,-0.024274353,0.0029339916
0.26262626,3.7171717,-1.7404556e-05,-0.0029423218,-1.9329907,-5.0872545,-0.022151224,0.0029423733
0.26262626,3.7575758,-1.773052e-05,-0.0029495955,-1.6327586,-4.3543477,-0.01928403,0.0029496488
0.26262626,3.7979798,-1.8039718e-05,-0.0029557664,-1.3322792,-3.6224391,-0.015661832,0.0029558216
0.26262626,3.838384,-1.8337741e-05,-0.002960816,-1.0317183,-2.8919683,-0.011283706,0.0029608728
0.26262626,3.878788,-1.8607825e-05,-0.0029647667,-0.7312767,-2.1634538,-0.0061513046,0.0029648251
0.26262626,3.9191918,-1.8844381e-05,-0.002967624,-0.43121123,-1.4375153,-0.00027456597,0.0029676836
0.26262626,3.959596,-1.9058585e-05,-0.0029693786,-0.13182808,-0.7148903,0.0063334517,0.0029694396
0.26262626,4.0,-1.92374e-05,-0.0029700417,0.16650333,0.003548732,0.013651335,0.002970104
0.39393938,0.04040404,3.9599836e-06,-8.872338e-05,-29.390387,-70.77478,0.12920538,8.881171e-05
0.39393938,0.08080808,3.5967678e-06,-0.00013129413,-29.03478,-70.058334,0.14003186,0.00013134339
0.39393938,0.121212125,3.2745302e-06,-0.00017344952,-28.679104,-69.34155,0.15066029,0.00017348042
0.39393938,0.16161616,2.9783696e-06,-0.00021520257,-28.323814,-68.62529,0.16077492,0.00021522318
0.39393938,0.2020202,2.7045608e-06,-0.00025653094,-27.969288,-67.910194,0.1701516,0.0002565452
0.39393938,0.24242425,2.456829e-06,-0.00029745325,-27.615723,-67.19649,0.1786455,0.00029746338
0.39393938,0.28282827,2.231449e-06,-0.00033795089,-27.263302,-66.48436,0.18615524,0.00033795825
0.39393938,0.32323232,2.0302832e-06,-0.00037804432,-26.912079,-65.77368,0.19264922,0.00037804976
0.39393938,0.36363637,1.8533319e-06,-0.00041772798,-26.562075,-65.06424,0.19811751,0.00041773208
0.39393938,0.4040404,1.6894192e-06,-0.0004569944,-26.213284,-64.355774,0.20258608,0.00045699754
0.39393938,0.44444445,1.5404075e-06,-0.00049585104,-25.86563,-63.64785,0.20611162,0.0004958534
0.39393938,0.4848485,1.4081597e-06,-0.0005342923,-25.519075,-62.940174,0.20874932,0.0005342942
0.39393938,0.5252525,1.2870878e-06,-0.00057233125,-25.17356,-62.232376,0.21057834,0.0005723327
0.39393938,0.56565654,1.1771917e-06,-0.00060995296,-24.829044,-61.524155,0.21166386,0.0006099541
0.39393938,0.6060606,1.0877848e-06,-0.00064717047,-24.485514,-60.815308,0.21206719,0.0006471714
0.39393938,0.64646465,9.983778e-07,-0.00068396144,-24.143011,-60.105762,0.21185349,0.00068396213
0.39393938,0.68686867,9.201467e-07,-0.0007203482,-23.801542,-59.395412,0.21106069,0.0007203488
0.39393938,0.72727275,8.363277e-07,-0.000756314,-23.461226,-58.684406,0.20973,0.0007563145
0.39393938,0.7676768,7.804483e-07,-0.00079186633,-23.122131,-57.97279,0.20788868,0.00079186674
0.39393938,0.8080808,7.171184e-07,-0.00082699955,-22.784386,-57.26078,0.20555472,0.00082699984
0.39393938,0.8484849,6.61239e-07,-0.000861723,-22.44807,-56.548515,0.20274425,0.00086172327
0.39393938,0.8888889,6.053597e-07,-0.0008960217,-22.113297,-55.836178,0.19946104,0.0008960219
0.39393938,0.9292929,5.532056e-07,-0.0009299051,-21.780151,-55.12395,0.1957299,0.0009299053
0.39393938,0.969697,4.991889e-07,-0.0009633694,-21.448666,-54.411865,0.19155228,0.0009633695
0.39393938,1.010101,4.4889748e-07,-0.0009964053,-21.118853,-53.69994,0.18695624,0.0009964054
0.39393938,1.050505,3.7811697e-07,-0.0010290314,-20.79066,-52.988037,0.18196143,0.0010290314
0.39393938,1.0909091,3.259629e-07,-0.0010612328,-20.464033,-52.276054,0.17660244,0.0010612329
0.39393938,1.1313131,2.514571e-07,-0.0010930151,-20.138832,-51.563633,0.17091599,0.0010930152
0.39393938,1.1717172,1.899898e-07,-0.0011243802,-19.814932,-50.850517,0.16493501,0.0011243802
0.39393938,1.2121212,1.2107193e-07,-0.0011553261,-19.492216,-50.136433,0.15870915,0.0011553261
0.39393938,1.2525252,3.1664968e-08,-0.0011858456,-19.170597,-49.421165,0.15228131,0.0011858456
0.39393938,1.2929293,-6.891787e-08,-0.0012159459,-18.850058,-48.704685,0.14568537,0.0012159459
0.39393938,1.3333334,-1.6391277e-07,-0.001245629,-18.53068,-47.98709,0.13895443,0.001245629
0.39393938,1.3737373,-2.719462e-07,-0.0012748837,-18.212633,-47.268696,0.13210995,0.0012748837
0.39393938,1.4141414,-3.9860606e-07,-0.0013037361,-17.896261,-46.55005,0.12517972,0.0013037361
0.39393938,1.4545455,-5.2154064e-07,-0.0013321675,-17.581957,-45.831738,0.1181874,0.0013321677
0.39393938,1.4949495,-6.6682696e-07,-0.0013602041,-17.27016,-45.114166,0.11115692,0.0013602042
